Nama,Bintang,Tanggal dan Waktu,Ulasan
Regia,5,10/7/2023 5:54,sangat membantu utk yg sering travelling
FANS ANIME,5,10/26/2023 5:49,"Murah banyak diskon, cepat"
Muhammad Putra,1,10/22/2023 5:36,Jgan pernah beli tiket di app ini LG bro sering kecewa di bua app ini Dan ini tidak cocok buat anda semua
Fajar eko Saputro,5,10/25/2023 10:35,Sangat bagus dan mudah di akses
Jordhy Ahmad,2,9/10/2023 13:39,"Udh di update trus notif bar ga ilang"""
Olivia Cahyani,5,6/15/2023 8:06,"Tadinya enak bgt. Bru aktifin paylatter udh dpet 2.5, di pake dan selalu lancar. Ini udh di upgrade kok jd turun? Kenapa ya....lg buat andalan plah bgini... Agak kecewa si.."
Deddy Po,1,10/26/2021 14:48,"Kualitas CS sangat amat buruk, masalah tidak bisa diselesaikan, selalu berganti ganti org terus dan selalu alasan yg tidak masuk akal, saya komplain dari awal oktober sampai skrg tidak kunjung selesai, status naik dan level naik tapi paylater tidak bs dipakai, percuma level naik dan status naik, ""pakai terus travelokamu"" Bgm mau dipakai wong di apps nya aja ga bisa !!! Pokoknya bintang 1 aja !!!!!!!!"
Handoko Guntoro,5,10/28/2023 5:13,jadi mudah deh kalo mau pesan tiket pesawat karena ada aplikasi ini
Aisyah maulidyah Azzhara,5,10/28/2023 6:13,Aplikasi yg cocok untuk liburan sama keluarga ??
Pengguna Google,4,3/21/2019 8:43,"Aplikasi wajib dari jaman dulu... hahaha, baru tau kalau ada fasilitas paylater.. kalau bisa fasilitas paylater bisa dipakai belanja juga pasti lebih sip.. overall makin senang dengan adanya paylater. jadi gk perlu pakai kartu kredit lagi.."
Wawan Kurniawan,5,11/7/2023 1:37,Alhamdulillah tinggal klik klik ..... bayar ..... cap cus .... berangkat deh
Putri Zaleha,5,10/24/2023 7:36,Aplikasi yg sangat memudahkan untuk memesan tiket pesawat dan hotel
angga yuniwiyata,1,6/30/2020 18:06,"sangat mengecewakan sekali traveloka sekarang, alasan covid dipakai untuk blokir limit paylater, tapi penjelasan cs di blokir dikarenakan pernah telat 1 hari, yang benar yg mana, padahal transaksi saya sangat aktif, tagihan jg sudah lunas semua, memang traveloka sudah gak bagus lagi seperti dulu, uninstall saja lah!!! kalau menyarankan beli melalui pembayaran langsung, masih banyak yg lainnya yg kasih harga lebih murah daripada disini, bye bye traveloka"
Pengguna Google,5,12/20/2018 0:06,"selalu menjadi aplikasi travel yg terbaik, penggunaan sangat mudah, dr pesan tiket pesawat, hotel, dan rekreasi juga sangat mudah, sudh 2 tahun menggunakan fitur ini tdk pernah d persulit, pembelian pulsa pun harganya jauh lebih murah.. terimakasih traveloka.."
Sukardi Muklis,5,7/8/2023 6:48,"Buat yg suka travelling.... Bisa pakai aplikasi traveloka, mudah, gampang, dan terpercaya. Yukk... Buruan"
narendra dwb,1,6/26/2023 2:30,"Traveloka kebangetan baru telat 1 hari sudah di terror dc jam 7 pagi, mengganggu sekali Tidak lagi saya akan pakai ini aplikasi. Tidak masalah dengan denda, yg saya permasalahkan debt collectornya tidak sopan."
SOB KHAN,5,8/4/2023 3:15,Terimakasih Traveloka Saya melakukan refund langsung diterima dan duit langsung ditransfer cepet banget. Oh ya saya mau ngasih kata maaf ke pihak hotel gimana caranya ????
Siti Hawa Lubis,5,11/5/2023 6:37,suka banget makek traveloka mendapatkan diskon
Sofie Noviellia,1,8/12/2023 6:24,"besok2 ditambahin fitur cara pembayaran/ langkah2 nya lewat atm, transfer, kredit , dll di kolom pilihan pembayaran ya. jangan ditaruh di pusat bantuan. bikin pusing ."
Alfy Ch,5,11/2/2023 8:54,Aplikasinya sangat bgs untuk pembelian tiket online
PT Media Vision Perkasa,2,8/28/2023 7:13,"Sebelumnya enak sekali beli, tinggal masukkan nama kariawan yg mau melakukan perjalan secara otomatis NIK-nya langsung terisi karna sudah pernah di input., skrg setiap kali mau beli selalu masukkan nomer nik KTP, harus tunggu orangnya kirim fotonya, catat angkanya, merepotkan"
putri amalia,5,10/28/2023 12:08,"Traveloka mantab , dan mudah"
Nur Halimah,5,6/16/2023 8:24,"Keren abis. Buat reservasi tak ada kendala, kalopun ada kendala langsung di infokan dan dibantu untuk mendapatkan solusi terbaik. Sukses selalu traveloka. Terima kasih"
Andi Satya Karya,5,10/28/2023 10:00,Sangat Membantu untuk perjalanan
Salamun taufik,1,10/22/2023 9:12,"Di suruh kasih bintang 5 laike apa lah, nyata nya pembohong,cuman pengen naikin rating nya doang,parah"
dianita DNP,5,10/5/2023 3:54,aplikasi cukup bagus dan mudah dijalankan
Michael Sukandar,1,6/14/2023 14:10,"Udh mulai ga jelas, bayar selalu lancar telat 1 hari pun ga pernah, tp sekarang virtual number tidak bisa di gunakan, minta update data udah semua di kasih yg asli, maunya apa ini aplikasi"
Agung heru cahyono,1,6/30/2022 11:09,"Maaf. Harga tiket pesawat selalu berubah, pasti naik saat mau payment. Kalo dulu biasanya kadang kadang aja. Mgkin karena booking barengan orang lain. Kalo sekarang hampir selalu terjadi. Gak tau ini trik jebakan atau strategi pasang harga murah didepan, atau sistem aplikasi yg oon parah update harga terbaru. Dengan menyesal bintang 1. Padahal dulu andalan. Re: Bukan itu, masalahnya harga yg tampil diawal pencarian bukan harga terupdate dr maskapai, harga update baru muncul saat mau payment."
HERMAN BOY,5,11/12/2023 9:05,Saya selalu menggunakan traveloka utk booking tiket dan selalu lancar jaya
Yarifai Mappeaty,5,9/18/2023 4:00,Pelayanan Traveloka tampaknya semakin baik
ali imron,5,9/23/2023 1:56,"pembayaran mudah, akses cepat"
Nicko Eka saputra,5,10/20/2023 11:06,Aplikasi nyaa bagus sanggat membantu banget sukses terus
alvin rahid,5,10/26/2023 3:50,Aplksi yg lengkap dan banyak promo juga.
Robert Tandi Karaeng,5,8/1/2023 8:10,Banyak yg mengeluh Sy pribadi sdh 7 tahunan pakai traveloka semua lancar cepat & tepat Bahkan dulu sy cancel rute samarinda jkt ke balikpapan jkt tak ada kendala cancel Sy lebih senang ditraveloka proses cepat & cs jg cepat tanggap melayani kendala
Aisyah Hanifah,1,7/4/2023 8:17,Traveloka tolong donk .. e-tiket saya diterbitkan .. sudah saya transfer namun tidak ada e-tiket.. kalaupun isued tiket di sistemmu gagal.. uang yg sudah saya transfer dikembalikan saja . Biar bisa saya beli tiket pesawatnya di aplikasi laen.. pliss jgn zalim.. do'a orang yang terzalimi dikabulkan loh sama Tuhan
Ady Becks,5,10/25/2023 8:16,"Mantap , pesan hotel makin mudah"
Pengguna Google,1,2/28/2020 14:44,"Saya baru pakai traveloka, kebetulan saya sudah booking hotel di traveloka, tapi pada saat sehari sebelum mau berangkat, tiba� suami saya sakit, otomatis saya minta di reschedule, tetapi mengapa tidak bisa dibantu yaa.. Padahal statement nya traveloka ""mengubah bukan masalah. Kami pastikan jadi mudah"" nyatanya mana nih.. Malah bikin kecewa.."
Rezky Alfakhri,5,11/8/2023 6:50,Aplikasinya sangat bagus dan ux bagus
Lurusan Hati Amazihono,2,8/28/2023 5:11,"Sekarang aplikasi ini terlalu mahal harga tiket tahun 2023, beda dengan harga tiket 2022. jadi penumpang yg mau memesan tiket pesawat penerbangan akan selalu membatalkan karna takut dengan harga tinggi, mohon di sesuaikan bosku??"
bernada tarina,5,8/29/2023 4:58,Sudah 2 kali pesen lewat traveloka sangat membantu sekali semoga kedepannya semakin sukses selalu ??
Muslinar Muslinar,5,8/26/2023 12:43,"Aplikasi yang sangat membantu untuk traveling, booking tiket pesawat dan hotel jadi lebih gampang..."
Rafael Tommy,5,8/22/2023 4:43,Terimakasih Traveloka...jadi mudah untuk pesan tiket pesawat.. Semoga semakin sukses Traveloka..GBU
Boy Rah-Tob Lub,3,8/27/2023 6:27,"Saya sudah setia pakai traveloka, namun tanpa sebab tiba2 menu paylater saya di non aktifkan"
Mohamad Riski,5,10/3/2023 4:57,"Sangat membantu untuk berpergian ,semoga makin lancar untuk semua transaksi"
Masiha Nco,5,8/27/2023 6:22,Aplikasi yg sangat mendukung & mempermudah dalam melakukan perjalanan
Tri Yuda Haryanto,5,8/28/2023 5:57,Sangat membantu saya dlm mencari tiket pesawat dan kereta dengan mudah ??
Suryani uya,5,9/1/2023 12:28,sangat praktis dan mudah untuk mencari penerbangan kemana pun
Asrin Pandani,2,8/20/2023 14:30,"Lemott bangetttt padahal wifi on , paraaahhhh, tolong di perbaiki dong"
Tank M,5,5/25/2023 17:01,"Apk bagus,,,,pemesanan cepat dan akurat, mudah untuk traveling dan pemesanan akomodasi lainnya, sukses terus Traveloka."
m hafiez chondro ondo kls 4 mj 20,5,10/16/2023 7:17,simple dan mudah proses cpt
Rama Wijaya,5,11/7/2023 3:05,Bagus dan sangat mudah
Riko Saputra,5,10/22/2023 14:37,Sangat membantu di dalam dan di luar kota
Andri Kusmiyadi,5,11/15/2023 11:24,aplikasi yang sangat bermanfaat dan terbaik
Mandala warsadinata,5,10/26/2023 9:34,Aplikasi yang sangat membantu saya dari segi manapun. Pertahankan apa yang sudah ada ini sehingga bisa membantu kami semua yamg menggunakan aplikasi ini ??
Popi Hatta,5,11/8/2023 5:06,Yuk tau mau healing pake aja aplikasi Traveloka dinjamin mantul
Anggri ani,5,11/16/2023 11:02,Sangat membantu dan mudah
Nobiak,5,7/14/2023 1:30,Bagus kalo ada lebih gw kasih bintang 10. Travelola paling lengkap paling banyak pilihannya dari yang paling mahal sampek murah
Alingga Prawita Tristyawan,5,5/29/2023 4:27,"pembayaran sulit. tidak ada QRIS, ke gerai terdekat juga sulit. maksimal 2.500.000, lebih dari itu harus 2 kali pembayaran menggunakan BCA atau Mandiri"
Agus Wahono,5,7/19/2023 10:27,Lebih ditingkatkan lagi apps untuk ticket transportasi laut supaya memudahkan perjalanan dan Traveloka semakin didepan.
Andika Prisai Barus,1,10/24/2023 17:01,Hati-hati akun fake dari telegram yang menginstruksikan memberikan rating baik kepada aplikasi Traveloka. Itu semua bohong
Asep Maolana Irawan,5,12/21/2021 14:18,"Selama pake traveloka bwt booking hotel takpernah ada masalah, buat keperluan lain belum coba,...dulu punya dua applikasi travel agent,....tapi yang satunya lagi gak punya representative CS di Indonesia jadi agak worry, menurut gw plus minus gada yang sempurna...dan sesekali ada trouble,...tapi so far menurut gw sementara ini applikasi terbaik untuk booking hotel..."
Shinely,2,6/3/2023 12:51,"Berat bgt ni aplikasi,loadingnya lama.Kebanyakan vitur yg ga diperlukan deh,terakhit pake tahun kemarin masih enak tuh,tp sekarang ga bgt ini ada fitur explore segala terus menu utama ga di tampilin didepan,cuman ada pilihan pesawat sama hotel doang.Pas mau nyari bis,loadingnya lama bgt ga muncul sama sekali heran padahal sinyal lancar buat aplikasi lain jg oke."
Dwi Wiranto,5,11/15/2023 5:00,Aplikasi ini sangat membantu saat perjalanan jauh
Feri Prayoga,1,11/3/2023 13:02,Sekarang point tidak dapat ditukar menjadi pulsa
Muhammad Romadon,5,7/14/2023 3:45,"Dengan ada nya treveloka mempermudah saya dalam memesan Hotel dan tiket perjalanan , apalagi di aplikasi ini banyak sekali promo nya , mantap betull dah aplikasi ini ??????"
Conny Nurlita,5,8/26/2021 3:46,"saya pribadi sangat merasa terbantu dgn adanya aplikasi traveloka ini.. tp alangkah lbh baik klu poin yg di dpt dr setiap transaksi, bisa lngsung di gunakan.. supaya ada penghematan sedikit.. namun begitu, saya ttp ingin mengucapkan terimakasih utk traveloka."
Pengguna Google,2,10/29/2019 7:38,"Pesan di hotel yg sama, menggunakan hp yg beda ternyata harganya juga ikut beda. Tadinya pilih paket yg include breakfast, eh pas sudah dibayar dan mau masuk kamar ternyata dapetnya yg tanpa breakfast. Sudah telpon cs malah dibilang kami yg salah klik. Pas coba cek harga di hp lain, harga itu fasilitasnya beda."
Buma aska anum,5,7/20/2023 8:20,keknya sistemnya gangguan jadi pesen tiket gahal terus setiap detik harga berubah2.. smg bisa lebih baik yaa..
Dika Adrian Channel,5,10/22/2023 15:04,Aplikasi yg bagus sekali sangat membantu sekali pokonya best ??
Rizswan Gunawan,5,11/15/2023 10:24,sangat bagus dan bermanfaat ?? mempermudah setiap acara dan kegiatan ??
Dedy Gun_lock,1,7/30/2023 23:40,"Saya pesan tiket melalui traveloka, jelas2 sy sudah input nama belakang, malah di tiket tidak muncul, akhirnya tertahan di bandara, di suruh beli ulang tiket, atau ubah nama sebesar 1.5jt....gila??????"
Hari Bowo,1,7/1/2021 1:53,"begitu saya kasih bintang 1, ada critical security alert di email saya, ada yg mencoba masuk..banyak buzzer bintang 5 gak jelas...Dulu saya lebih suka dan sering menggunakan Traveloka utk pembelian tiket pesawat tiap minggu pp.. boleh di cek.. sekarang mungkin sudah berbeda.. banyak promo2 muluk2 yg akhirnya saya skip krn ternyata berbeda dengan apa yg saya harapkan...dan sekarang karena sudah tdk percaya traveloka, jarang sekali buka aplikasi ini"
riska yuliana,5,11/15/2023 5:28,Pakai aplikasi traveloka sangat memudahkan????
Ajuta Family Family,1,8/5/2023 7:05,"Saya tidak dapat masuk kembali ke akun saya, sudah menghubungi email, telp , dan customer service Traveloka tapi tetap tidak mendapatkan bantuan / Solusi yang berarti. ?? Padahal saya hanya mau menyelesaikan kewajiban paylater saya. Mohon bantuannya. ??"
Juliaangzlna774 Juliaa,1,11/12/2023 2:24,aplikasinya nggak bagus tidak terpercaya
20-013 Fahrizal Husin,5,10/28/2023 11:49,Traveloka memang paling bisa di andalkan
Ika Prisnawati,4,7/25/2023 22:10,"memudahkan untuk pesan kamar hotel tanpa harus datang ketempat dan tujuan nya, apa lagi buat saya dan suamu yang bekerja sama sama jauh dan harganya pun sangat terjangkau sekali"
prayudi yudi,5,8/12/2023 3:36,mau nginep ke kota Indonesia kemana mana enk..semakin mudah dan gampang tinggal klik. yg penting ada saldo...???? mantap ??????
carlo OT,5,10/30/2023 2:42,Mantap cara mudah untuk memilih Hotel
Ahmad Zero5g,5,10/21/2023 10:00,Aplikasi yang sangat baik dan mudah di gunakan
asih widyanti,2,10/23/2023 2:25,mau beli tiket kereta aja ribet banget di apk ini. bikin pin buat sakuku aja sangat ribet. kapok
ALSAKI KENAN IBRAHIMOVIC,5,10/29/2023 12:29,Selalu pake traveloka kalo mau staycation selalu best
Diki pangeran asker,5,10/21/2023 11:02,Aplikasi mudah bgt enak buat di pakai Rekomendasi bgt sih nih apk
nindya fitzianty,5,11/17/2023 4:53,Aplikasi yang sangat mudah untuk di gunakan
pedro yongki,5,11/12/2023 1:47,Aplikasi yang sangat memudahkan pesan apa saja
Aidil,4,10/29/2023 17:38,Apakah bisa membeli tiket dari luar negeri ke indonesia menggunakan traveloka?
Salsabilla Febi,5,10/26/2023 16:38,aplikasi yang bagus dan rekomended bgt
Iwan Fals,5,10/29/2023 11:37,Merekomendasikan buat mencari hotel
HASAN BAE,5,11/9/2023 9:20,Saya selalu pakai aplikasi Traveloka untuk membeli tiket pesawat
NANDA RAMADANI,5,11/2/2023 11:15,mantapp sekali pelayanan bagus
ardhi erlan,1,1/21/2023 1:12,"Kecewa dengan paylater traveloka,percuma diberikan limit besar tapi tidak bisa digunakan karna alasan keamanan. Padahal di app status saya bagus sampai level 6 max. Tidak pernah ada terlambat bayar sama sekali. Dan tidak pernah menggunakan berlebihan justru jarang saya pakai. Sudah lapor via live chat,email,call center semua nya ga ada solusi! Mungkin IT DEV nya pun kurang pengalaman dalam membuat sistem keamanan. Lalu untuk apa limit besar diberikan tapi tidak bisa digunakan? PERCUMA!"
Iniesta Andre,2,6/13/2023 5:01,Punya limit tapi gak bisa di pakai virtual number padahal sudah level platinum 2 dah limit blum ke pakai sampai 20 persen tapi udah gak bisa di pakai aneh
Luthfi _,5,10/25/2023 4:44,Aplikasi lengkap & memudahkan orang mau kemana saja tanpa ribet. I like it
Indra Black,5,11/15/2023 12:13,sngat membatu dan bagus tdak perlu keluar rumah trima kasih treveloka
Noly Helmi Harahap,3,8/16/2020 11:01,"Overall aplikasi sdh user friendly dan aplikatif banget. Tapi ada catatan : Setiap Reservasi kamar ada kolom permintaan khusus. Tapi setiap saya pesan kamar dan mengisi permintaan khusus tsb tdk pernah sampai ke pihak hotel. Hotelnya selalu bilang, setiap selesai pesan via traveloka hrs telp lagi ke hotelnya utk menyampaikan apa saja permintaan khususnya. Jadi kalo sprti itu utk apa saya mengisi kolom permintaan khusus kalo tidak ada gunanya."
Akunbisnis Ponsel,1,11/15/2023 11:14,"Aku download ni aplikasi berujung ditipu ges, kirain mau naikin rating bakal dikasih duit ternyata di blok gua??"
Dela Mutia,5,10/20/2023 4:47,Sangat memudahkan dalam pencarian tiket
Adam Adi,5,10/28/2023 6:16,"Baguss bangett, sngatt membantuu untukk yang sedangg carii hotell dan mau liburann, caraa pakai nyaa jgaa mudah dipahamii"
"M Mulyono, SH.",5,10/21/2023 10:25,"Saya puas, senang dan memudahkan untuk proses pesan dan bayarnya"
Meny Roesnaini,5,11/4/2023 8:51,Pesan tiket mudah tdk perlu keluar rmh... Cukup buka aplikasi Traveloka bs cek dn beli tiket disini ??
aris iskandar,5,10/20/2023 11:17,Pesen tiket lebih gampang dan banyak promonya
Sukma Gayatri,5,11/15/2023 5:47,aplikasi booking yang sangat good
Syifa Aulia Usman,4,7/21/2021 11:22,"fixxx sih traveloka jadi salah satu aplikasi yang wajib ada di HP. fiturnya lengkap, ga ribet, bayarnya gampang, trs juga traveloka ngasih inspirasi staycation yang the bestttttt. ini penting banget si, aku jadi ga bingung lagi kalo mau bepergian. Pokoknya beneran ngebantu aku banget. tapiiii yang paling bikin seneng si karena banyak promo� menarik yang bikin kantong tetep aman meskipun jalan-jalan terus wkwk. gabakal nyesel deh kalo pake traveloka??"
Syaifudin J,5,9/22/2023 8:31,Memudahkan untuk mencari dan memesan tiket pesawat maupun hotel
Abdul Zaitun,5,10/22/2023 9:22,"Apk ini sangat membantu dan keren ?? buat yang belum download aku saranin download yah, ntar nyesel gak download"
Idun Gigi,5,10/31/2023 7:49,"di mudahkan traveloka , terimakasih traveloka ????"
Ida Wati,5,11/4/2023 9:26,Cepat dan tepat dalam menemukan tujuan anda
samsul pajar,5,10/23/2023 18:17,Beli tiket sekarang jadi lebih mudah dan ga ribet
Salsabila irwanto,5,10/20/2023 4:28,Sangat membantu untuk pesan tiket reccomended
sweet home,5,10/30/2023 7:15,Terimakasih Traveloka ...semua menjadi lebih mudah
Marli Serina,5,10/24/2023 1:15,"Bagus sekali, sangat memudahkan dalam berpergian"
Endang Dewi rahayu,5,10/28/2023 10:56,dengan traveloka semua jd mudah
Agustin Rifai,5,10/24/2023 3:47,"Mudah digunakan,dan simple"
ADI PRASETYAWAN,5,10/25/2023 10:32,"Traveloka tempat saya cari referensi tempat penginapan, hotel kalo bepergian kesuatu tempat di indonesia"
Gozil Id,5,11/2/2023 5:45,Bagus untuk mempermudah bepergian jauh
Lusia Enjelina Silalahi,5,10/30/2023 7:42,Aplikasinya bagus mempermudah masyarakat untuk membeli tiket
Yosi mardiansyah,5,10/23/2023 8:18,Sangat membantu dalam pemesanan transportasi
Her Nawan,5,11/2/2023 5:35,Recommend bagi yang senang travelling nih ??
Poppy Damayanti,5,10/23/2023 0:19,"Puas pake traveloka, Traveling jd makin mudaah"
Nur Lia,5,10/25/2023 12:23,Sangat memudahkan dan sangat membantu aplikasinya
Khai Ranis,5,11/1/2023 12:59,Dengan adanya traveloka kami bisa membeli tiket secara langsung dan sering dapat harga promo
Cahyo Dwi Prastowo,5,10/25/2023 12:40,Aplikasi keren sangat membantu liburan kita
Endri Setia,4,7/11/2023 12:31,ok Buat pesan tiket.. tapi sering ada berubah harga makin mahal pas mau bayar.. sementara 4 bintang dulu.
Andri Ani,5,11/5/2023 8:32,Sangat membantu banyak promo menarik
Kiki Amelia,5,10/26/2023 7:32,Helpfull bgt buat cari tiket murah dan hotel juga
diana phang tjui kim,5,10/28/2023 4:15,Aplikasi yang mudah dan banyak promo
gianto sandjojo,5,10/25/2023 4:31,Sanat membantu untk perjalanan wisata
Dimas Kurniawan,5,11/2/2023 5:45,Hotel murah ya di traveloka
abdul hamid,5,10/26/2023 4:39,"Sangat membantu,sahabat liburan kita"
Medi Juanda,5,10/30/2023 10:57,Kerja maksimal internasional
Teddy tedi,5,10/31/2023 5:11,Penggunaan aplikasi sangat mudah di pahami
senja krisdana,3,8/28/2021 9:29,"Ini sistem pengantaran traveloka eats gimana si? Kenapa kurirnya muter-muter, dan beberapa kali pesen tuh sering banget telat nyampenya dari waktu perkiraan bahkan pernah telat sampai satu setengah jam-an. Mohon traveloka untuk memperbaiki sistem pengantaran makanannya."
Piala Tarigan,5,11/5/2023 9:17,Saat penerbangan dibatalkan maskapai... TRAVELOKA bertanggung jawab rescedule atau refund... Nyaman gunakan Traveloka.
yayans jimpez,5,11/1/2023 4:09,Mudah dan praktis banget
Rakadima Anbelwa,1,10/29/2023 3:43,Kecewa dengan pelayanan uangku udah top up tapi uangnya tidak masuk
Thomas Fajar,5,10/29/2023 4:05,"sangat membantu saya setiap mau beli tiket dll, sangat puas mantap ????"
Vincentius Wisnu,5,10/24/2023 10:17,traveloka aplikasi yang memudahkan untuk berjalan2
Tofa Agus,5,10/26/2023 5:05,Pokoknya sangat memuaskan menggunakan aplikasi traveloka
Fajar Nur,5,10/20/2023 8:25,Aplikasinya sangat mudah di gunakan
Mas Bro,4,10/26/2023 0:28,"Mohon infonya, bagaimana cara top up pulsa menggunakan aplikasi ini , mohon tutorial nya??"
anfi surur,5,10/29/2023 4:02,Aplikasi yg sangat bermanfaat bagi yg suka traveling
Nurul Nabilah,5,10/23/2023 8:58,Sangat membantu untuk melakukan perjalanan
Fuji Andryanto,5,10/20/2023 8:20,Cukup banyam promonya tingkatkan lagi promonya agar makin mantapp
Ulfah Yuniasih,5,10/25/2023 4:44,"Aplikasinya sangat membantu, dan bermanfaattt"
Panji Setiawan,1,11/2/2023 5:28,"IKLANNYA MENGGANGGU, NYAMPAH!! YA KALAU ORANG BUTUH YA DIBELI TIKET PESAWATNYA, NGAPAI IKLAN ADA DI APLIKASI GAME, FILM, SEMUA TRAVELOKA, KURANG-KURANGI IKLANNYA!! BUAT SEMAK!!"
Eka Prasetia,1,10/26/2023 7:30,Hati2 ada yg menyebarluaskan hoax mengatasnamakan traveloka dengan memberikan misi dan dengan iming2 imbalan insentif hati2 buat semuanya. Kalo memang itu asli admin dari traveloka bahasa yg dikeluarkan sangat kotor dan tidak patut dicontoh
Maryati,5,10/20/2023 5:23,wah traveloka sangat membantu aku...pokoknya bagus
BATURAJA ID,5,10/29/2023 8:56,aplikasinya sangat bagus dan juga sangat membantu
Lu'lu Uljannah,5,10/24/2023 3:35,Aplikasi yang memudahkan orang untuk memesan tiket kereta maupun hotel
TAUFIK Hidayat,5,10/20/2023 4:56,Aplikasi sangat rekomen banget buat kamu yang ingin bepergian
Putra Kali,5,11/2/2023 5:06,"Aplikasi yang bagus,memudahkan masyarakat buat beli tiket??"
Yan Canting,3,10/27/2023 0:03,"Apssnya lemot bukanya, tolong diperbaiki"
Wahyu Riski maulana,5,10/26/2023 5:52,Perjalanan singkat dengan Anda Liburan yang baik. Terima kasih untuk Anda Traveloka. Lain kali kami akan mengikuti anda lagi
Mera Intan,5,10/22/2023 5:15,Bagus mempermudah perjalanan
Dzaky Almair Lutfi,5,10/24/2023 8:34,Aplikasi yang sangat mudah dan membantu
Sodikin Kino,5,11/1/2023 3:07,pembelian tiket jadi sangat mudah. mantap
Muhammad Denny,1,10/26/2023 1:39,Kok diupdate versi kebaru..jd gk bs dibuka yak..aneh
Malisa Pusparani,5,10/29/2023 9:05,Banyak promonya apalagi untuk tiket wisata
Depi Ta,5,11/4/2023 3:56,saya sangat senang dengan adanya Traveloka jadi lebih mudah saat treveling
Mbah Doel,5,10/30/2023 11:04,Pesan tiket terpercaya dan simple
Wahyu Nur,5,10/20/2023 5:03,Pelayanan yang sangat baik dan sangat membantu
Mira Hasmirani,5,10/20/2023 15:13,sangat berguna buat traveler??
Moh. Arik hermanto,2,10/24/2023 21:18,Pengajuan paylater disuruh unggah foto selfi mirip dengan ktp. Ya mana bisa. Semakin usia ya bedaaa. Kok malh disuruh sedemikian mirip
Sahdu Mustajab,1,10/24/2023 5:47,lebih mudah memesan tiket di traveloka
Pingkan Komara,5,11/1/2023 13:51,sangat membantu untuk membeli tiket dimana pun dan kapan pun
Ahmad Yunus,5,10/25/2023 11:34,Traveloka sangat rekomendasi sekali untuk memesan tiket apappun
oman frasco,5,10/29/2023 13:19,situs terbaik untuk semua kebutuhan..????????
Dora,5,10/20/2023 4:56,"Aplikasinya sangat bagus, dan sangat membantu"
Mandu Keju,5,10/26/2023 3:39,Liburanku terlaksana dengan baik karena traveloka
Aditya Deo Pakusadewa,5,10/29/2023 4:22,Aplikasi sayang enak di pakai travelling
Wahyubuma 1997,5,10/21/2023 5:48,Aplikasi ini sangat membantu untuk pesan tiket pesawat dan hotel
bagus putra,4,10/20/2023 0:37,Kenapa fitur pembayaran tagihan jd hilang???
kiwa channel,5,11/1/2023 7:46,Selalu pling langganan untuk kemana2 terutama liburan bareng keluarga
Riz An,5,10/31/2023 10:57,sangat mudah dan bermanfaat
Azizah Ayu ningtyas,5,10/29/2023 9:01,Aplikasi yng bagus untuk pesan tiket??
Nadya Sofiriyanti,5,10/29/2023 12:07,Nyaman digunakan dan solusi buat cari tiket atau penginapan
Lady Jane Malombeke,5,10/30/2023 10:39,"Sangat memuaskan memakai aplikasi ini, sangat membantu sekali"
Heni Susiana,5,10/20/2023 11:11,"Aplikasi yg sangat bagus ,, rekomended"
Anis Saja,5,10/27/2023 4:46,"Aplikasinya sangat bermanfaat sekali,, mantappp"
Detianur Dzuhriaprilianti,5,10/24/2023 5:52,Mantap Semua serba bisa sekarang dengan aplikasi ini
Abdur rahman,5,10/28/2023 5:53,aplikasinya sangat memudahkan saya dalam perjalanan
Nengsih 1611,5,10/25/2023 12:42,Sangat luar biasa traveloke sangat membantu kami
arvi may kasari,5,10/25/2023 12:01,aplikasi sangat membantu saya dalam akomodasi perjalanan
Fahrul Roji,5,10/21/2023 10:40,"Woww bagus bangettt aplikasi ini, sangat membantu sekali"
Fadlan Hidayat,5,10/26/2023 5:46,terima kasih telah merekomendasikan Traveloka good nice
Ana Alfatunnisa,5,10/25/2023 12:49,pelayanannya bagus dan cepat pokoknya bagus deh
Fernando Sinurat,5,10/24/2023 10:43,Jadi lebih mudah berpergian dan booking tiket
Subhan Rohyas,5,10/21/2023 0:16,cepat dan akurat
Sandy Nugraha,5,10/25/2023 12:22,"Saya suka aplikasinya mudah digunakan ,semoga aplikasi ini terus berkembang"
Rise Septi Malinda,5,10/31/2023 1:09,terimakasih atas Nama Traveloka;Hotel & pesawat terbang ????????????????????????????????????????????????
Dodi Fernando,5,10/28/2023 11:50,Traveling menjadi lebih mudah ????
cik saha,5,11/1/2023 13:17,mantap bikin gampang kalo kemana mana
Andes Ananda,5,10/20/2023 10:55,aplikasi ini sangat membantu untuk melakukan perjalanan
Ddani,5,10/31/2023 4:27,"Yuhuuu, app ini ngebantu banget kalo mau liburan"
Tri Sudaryati,5,11/1/2023 6:49,"sangat membantu ya, ?? semoga semakin baik ke depannya"
Asrhil Nazar,5,11/1/2023 8:39,Aplikasi ini sangat membantu saya ketika berpergian ke luar kota.
Dendy Fuadin,5,10/24/2023 8:20,sangat membantu saya dalam mencari akomodasi disaat liburan
EVA ANGGRAENI,5,10/30/2023 5:03,Aplikasinya sangat bagus dan membatu sekali
Septanti Faristin,5,10/29/2023 7:21,Banyak promo menarik.
Nata Aja,5,10/27/2023 14:55,Membantu untuk perjalanan ke mana pun dan dimanapun
Yuliana Katas,5,11/4/2023 9:19,Apakasi yang sangat memudahkan dalam pembelian tiket
Lia Lia,5,10/23/2023 8:50,Sangat membantu untuk travelinggg
